locale,ID,customerName
en,a0000000-0000-0000-0000-000000001001,TechNova Solutions
de,a0000000-0000-0000-0000-000000001001,TechNova Solutions GmbH
en,a0000000-0000-0000-0000-000000001002,Global Industries
en,a0000000-0000-0000-0000-000000001003,Apex Corp
en,a0000000-0000-0000-0000-000000001004,Zenith Logistics
en,a0000000-0000-0000-0000-000000001005,Quantum Dynamics
en,a0000000-0000-0000-0000-000000001006,TechNova Solutions
en,a0000000-0000-0000-0000-000000001007,Nexus Health
en,a0000000-0000-0000-0000-000000001008,Global Industries
en,a0000000-0000-0000-0000-000000001009,Starlight Ventures
en,a0000000-0000-0000-0000-000000001010,Apex Corp
en,a0000000-0000-0000-0000-000000001011,Pioneer Manufacturing
en,a0000000-0000-0000-0000-000000001012,Zenith Logistics
en,a0000000-0000-0000-0000-000000001013,Silverline Retail
en,a0000000-0000-0000-0000-000000001014,Quantum Dynamics
en,a0000000-0000-0000-0000-000000001015,BlueWave Energy
en,a0000000-0000-0000-0000-000000001016,TechNova Solutions
en,a0000000-0000-0000-0000-000000001017,Nexus Health
en,a0000000-0000-0000-0000-000000001018,Global Industries
en,a0000000-0000-0000-0000-000000001019,Starlight Ventures
en,a0000000-0000-0000-0000-000000001020,Apex Corp
en,a0000000-0000-0000-0000-000000001021,Pioneer Manufacturing
en,a0000000-0000-0000-0000-000000001022,Zenith Logistics
en,a0000000-0000-0000-0000-000000001023,Silverline Retail
en,a0000000-0000-0000-0000-000000001024,Quantum Dynamics
en,a0000000-0000-0000-0000-000000001025,BlueWave Energy
en,a0000000-0000-0000-0000-000000001026,TechNova Solutions
en,a0000000-0000-0000-0000-000000001027,Nexus Health
en,a0000000-0000-0000-0000-000000001028,Global Industries
en,a0000000-0000-0000-0000-000000001029,Starlight Ventures
en,a0000000-0000-0000-0000-000000001030,Apex Corp
en,a0000000-0000-0000-0000-000000001031,Pioneer Manufacturing
en,a0000000-0000-0000-0000-000000001032,Zenith Logistics
en,a0000000-0000-0000-0000-000000001033,Silverline Retail
en,a0000000-0000-0000-0000-000000001034,Quantum Dynamics
en,a0000000-0000-0000-0000-000000001035,BlueWave Energy
